iter	Passed	Remaining
0	1	163
1	3	160
2	4	148
3	5	137
4	7	136
5	8	133
6	10	136
7	11	135
8	13	131
9	14	131
10	16	129
11	17	128
12	18	126
13	20	124
14	21	123
15	23	121
16	24	119
17	25	117
18	27	116
19	28	115
20	30	114
21	31	111
22	33	111
23	34	109
24	36	108
25	37	107
26	39	105
27	40	104
28	42	102
29	43	101
30	44	100
31	46	98
32	47	97
33	49	95
34	50	93
35	51	92
36	53	90
37	54	89
38	56	88
39	57	86
40	59	85
41	60	82
42	61	81
43	62	79
44	64	78
45	65	77
46	67	75
47	68	74
48	70	73
49	71	71
50	73	70
51	74	68
52	76	67
53	77	66
54	78	64
55	79	62
56	81	61
57	82	59
58	84	58
59	85	57
60	87	55
61	88	54
62	90	53
63	91	51
64	93	50
65	94	48
66	96	47
67	97	45
68	98	44
69	100	42
70	101	41
71	103	40
72	104	38
73	106	37
74	107	35
75	108	34
76	110	32
77	111	31
78	113	30
79	114	28
80	115	27
81	117	25
82	118	24
83	120	22
84	121	21
85	123	20
86	124	18
87	126	17
88	127	15
89	129	14
90	130	12
91	131	11
92	133	10
93	134	8
94	136	7
95	137	5
96	138	4
97	140	2
98	141	1
99	142	0
